"Site","SC.Category","SC.Level","Sample.Date","Fraction","Replicate","Order","Family","Genus","Abundance","Density","Biomass","Biomass.Area.Corrected","Unique_ID"
"CRO","REF","72","10/21/23","> 1",1,"Ephemeroptera","Baetidae","Acerpenna",0,0,0,0,"Acerpenna_0_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",1,"Plecoptera","Perlidae","Acroneuria",2,21.5285253,0.357036439,7.68646801003341,"Acroneuria_7.68646801003341_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",1,"Plecoptera","Adult","Adult",0,0,0,0,"Adult_0_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",1,"Diptera","Adult","Adult",0,0,0,0,"Adult_0_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",1,"Diptera","Adult","Adult",0,0,0,0,"Adult_0_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",1,"Diptera","Stratiomyidae","Allognasta",0,0,0,0,"Allognasta_0_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",1,"Plecoptera","Chloroperlidae","Alloperla",0,0,0,0,"Alloperla_0_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",1,"Diptera","Limoniidae","Antocha",0,0,0,0,"Antocha_0_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",1,"Diptera","Athericidae","Atherix",0,0,0,0,"Atherix_0_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",1,"Ephemeroptera","Baetidae","Baetis",2,21.5285253,2.372469863,51.075777469083,"Baetis_51.075777469083_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",1,"Ephemeroptera","Baetiscidae","Baetisca",0,0,0,0,"Baetisca_0_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",1,"Odonata","Aeshnidae","Boyeria",0,0,0,0,"Boyeria_0_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",1,"Plecoptera","Capniidae","Capniidae",0,0,0,0,"Capniidae_0_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",1,"Trichoptera","Polycentropodidae","Cernotina",0,0,0,0,"Cernotina_0_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",1,"Diptera","Empididae","Chelifera",0,0,0,0,"Chelifera_0_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",1,"Trichoptera","Hydropsychidae","Cheumatopsyche",1,10.76426265,0.337699762,3.63508893501049,"Cheumatopsyche_3.63508893501049_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",1,"Diptera","Chironomidae","Chironomidae",0,0,0,0,"Chironomidae_0_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",1,"Diptera","Chironomidae","Chironomini",0,0,0,0,"Chironomini_0_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",1,"Hexapoda","Collembola","Collembola",0,0,0,0,"Collembola_0_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",1,"Trichoptera","Polycentropodidae","Cyrnellus",0,0,0,0,"Cyrnellus_0_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",1,"Diptera","Pediciidae","Dicranota",0,0,0,0,"Dicranota_0_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",1,"Trichoptera","Hydropsychidae","Diplectrona",4,43.05705059,6.960192411,299.685356756561,"Diplectrona_299.685356756561_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",1,"Diptera","Dixidae","Dixa",0,0,0,0,"Dixa_0_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",1,"Diptera","Dixidae","Dixella",0,0,0,0,"Dixella_0_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",1,"Trichoptera","Philopotamidae","Dolophilodes",0,0,0,0,"Dolophilodes_0_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",1,"Coleoptera","Psephenidae","Ectopria",1,10.76426265,0.124899502,1.3444510443822,"Ectopria_1.3444510443822_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",1,"Ephemeroptera","Ephemeridae","Ephemera",0,0,0,0,"Ephemera_0_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",1,"Ephemeroptera","Ephemerellidae","Eurylophella",0,0,0,0,"Eurylophella_0_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",1,"Trichoptera","Glossosomatidae","Glossosoma",0,0,0,0,"Glossosoma_0_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",1,"Trichoptera","Goeridae","Goera",0,0,0,0,"Goera_0_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",1,"Odonata","Gomphidae","Gomphurus",0,0,0,0,"Gomphurus_0_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",1,"Coleoptera","Gyrinidae","Gyrinus",0,0,0,0,"Gyrinus_0_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",1,"Ephemeroptera","Heptageniidae","Heptageniidae",0,0,0,0,"Heptageniidae_0_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",1,"Odonata","Calopterygidae","Hetaerina",0,0,0,0,"Hetaerina_0_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",1,"Diptera","Limoniidae","Hexatoma",0,0,0,0,"Hexatoma_0_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",1,"Trombidiformes","Hydrachnidia","Hydrachnia",0,0,0,0,"Hydrachnia_0_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",1,"Trichoptera","Hydropsychidae","Hydropsyche",1,10.76426265,1.242015573,13.3693818431622,"Hydropsyche_13.3693818431622_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",1,"Plecoptera","Perlodidae","Isoperla",0,0,0,0,"Isoperla_0_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",1,"Lepidoptera","Crambidae","Langessa",0,0,0,0,"Langessa_0_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",1,"Ephemeroptera","Leptophlebiidae","Leptophlebiidae",0,0,0,0,"Leptophlebiidae_0_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",1,"Plecoptera","Leuctridae","Leuctra",0,0,0,0,"Leuctra_0_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",1,"Plecoptera","Leuctridae","Leuctridae",0,0,0,0,"Leuctridae_0_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",1,"Hemiptera","Veliidae","Microvelia",0,0,0,0,"Microvelia_0_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",1,"Diptera","Chironominae","Orthocladine",3,32.29278794,0.064586619,2.08568199112857,"Orthocladine_2.08568199112857_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",1,"Coleoptera","Elmidae","Oulimnius(A)",0,0,0,0,"Oulimnius(A)_0_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",1,"Coleoptera","Elmidae","Oulimnius(L)",0,0,0,0,"Oulimnius(L)_0_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",1,"Plecoptera","Capniidae","Paracapnia",3,32.29278794,0.067273318,2.17244299219418,"Paracapnia_2.17244299219418_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",1,"Ephemeroptera","Leptophlebiidae","Paraleptophlebiidae",14,150.6996771,24.22413093,3650.56870917912,"Paraleptophlebiidae_3650.56870917912_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",1,"Trichoptera","Polycentropodidae","Polycentropodidae",0,0,0,0,"Polycentropodidae_0_CRO_REF_72"
